Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 416700  Y 504200
X 414200  Y 518450
X 419200  Y 518450
X 424700  Y 518450
X 429700  Y 518450
X 414200  Y 524450
X 415700  Y 537200
X 426700  Y 543700
X 420700  Y 543700
X 415700  Y 543700
X 414200  Y 550200
X 413200  Y 561200
X 413200  Y 567700
X 423700  Y 569200
X 417700  Y 569200
X 429700  Y 569200
X 421700  Y 593200
X 421600  Y 608700
X 456218  Y 813700
X 445982  Y 801200
X 458200  Y 800218
X 466700  Y 608700
X 444700  Y 608488
X 444700  Y 603764
X 466700  Y 603700
X 444700  Y 599040
X 466700  Y 599040
X 439700  Y 592740
X 466700  Y 592700
X 453200  Y 591166
X 466700  Y 584867
X 444700  Y 583292
X 466700  Y 576993
X 444700  Y 575418
X 466700  Y 569119
X 444700  Y 567544
X 466700  Y 562819
X 444700  Y 562819
X 444700  Y 558095
X 466700  Y 558095
X 444700  Y 553370
X 466700  Y 551796
X 472200  Y 546200
X 474700  Y 542200
X 469700  Y 542200
X 466700  Y 532898
X 455700  Y 508200
X 502200  Y 623200
X 540700  Y 747200
X 546200  Y 763460
X 538141  Y 775700
X 520700  Y 785200
X 529700  Y 792700
X 551200  Y 792700
X 588700  Y 608488
X 586700  Y 603764
X 599700  Y 603764
X 579200  Y 599040
X 599700  Y 599040
X 579200  Y 594315
X 599700  Y 594315
X 579200  Y 589591
X 599700  Y 589591
X 579200  Y 584867
X 599700  Y 584867
X 579200  Y 580142
X 599700  Y 580142
X 599700  Y 575418
X 599700  Y 570693
X 599700  Y 565969
X 579200  Y 565969
X 579200  Y 561244
X 599700  Y 561244
X 579200  Y 556520
X 599700  Y 556520
X 579200  Y 551796
X 599700  Y 551796
X 579200  Y 547071
X 599700  Y 547071
X 599700  Y 542347
X 579200  Y 542347
X 579200  Y 537622
X 599700  Y 537622
X 579200  Y 532898
X 599700  Y 532898

Drill: .01969  Tool: 2  Feed: 95  Speed: 300
X 458974  Y 810153
X 443226  Y 810153

Drill: .1  Tool: 3  Feed: 69  Speed: 658
X 413385  Y 413385
X 594488  Y 413385
X 594488  Y 807086
X 413385  Y 807086

Drill: .1063  Tool: 4  Feed: 69  Speed: 658
X 457522  Y 485260
X 587443  Y 485260
X 587443  Y 674236
X 457522  Y 674236

End of Listing
